Apparel, relevancerank:-price:price:salesrank:reviewrank
Automotive, reviewrank_authority:reviewrank:-price:price:salesrank:relevancerank
Baby, salesrank:relevancerank:-price:price
Beauty, salesrank:reviewrank:relevancerank:-price:price
Books, -titlerank:titlerank:-daterank:inverse-pricerank:pricerank:salesrank
Classical, -titlerank:titlerank:-price:inverse-pricerank:price:pricerank:salesrank
DVD, -titlerank:titlerank:salesrank:availability:amzrank
Electronics, -titlerank:titlerank:-price:price:salesrank
ForeignBooks, -titlerank:titlerank:-daterank:inverse-pricerank:pricerank:salesrank
HealthPersonalCare, salesrank:reviewrank:relevancerank:-price:price
HomeImprovement, salesrank:reviewrank:relevancerank:-price:price
Jewelry, reviewrank:-price:price:relevancerank:salesrank:reviewrank:relevancerank:-price:price:salesrank
KindleStore, daterank:salesrank:reviewrank:relevancerank:-price:price:-edition-sales-velocity
Kitchen, salesrank:relevancerank:-price:price
MP3Downloads, -titlerank:titlerank:salesrank:reviewrank:relevancerank:-releasedate:-runtime:runtime:-price:price:-artistalbumrank:artistalbumrank:-albumrank:albumrank
Music, -titlerank:titlerank:-price:price:inverse-pricerank:pricerank:salesrank:-releasedate:releasedate
MusicalInstruments, salesrank:reviewrank:relevancerank:-price:price
MusicTracks, -titlerank:titlerank
OfficeProducts, salesrank:reviewrank:relevancerank:-price:price
PetSupplies, salesrank:reviewrank_authority:reviewrank:relevancerank:-price:price
Shoes, reviewrank:salesrank:relevancerank:-price:price
PCHardware, titlerank:-price:price:salesrank:psrank
Software, -titlerank:titlerank:-pricerank:price:salesrank
SoftwareVideoGames, -date:-titlerank:titlerank:-pricerank:price:salesrank
SportingGoods, -launch-date:salesrank:reviewrank:relevancerank:-price:price
VHS, -titlerank:titlerank:salesrank:availability:amzrank
Video, -titlerank:titlerank:-price:price:salesrank
VideoGames, -titlerank:titlerank:date:-price:price:salesrank
Watches, salesrank:reviewrank:relevancerank:-price:price