Apparel, salesrank:reviewrank:relevancerank:-price:price:-launch-date
Automotive, salesrank:reviewrank:relevancerank:-price:price
Baby, salesrank:relevancerank:-price:price
Beauty, salesrank:reviewrank:relevancerank:-price:price
Books, -titlerank:titlerank:pubdate:daterank:inverse-pricerank:pricerank:reviewrank:salesrank
Classical, -titlerank:titlerank:inverse-pricerank:-price:price:reviewrank:salesrank
DVD, -titlerank:titlerank:releasedate:daterank:inverse-pricerank:-price:price:reviewrank:salesrank
Electronics, -titlerank:titlerank:daterank:inverse-pricerank:price:reviewrank:salesrank
Grocery, reviewrank:-price:price:salesrank:relevancerank
HealthPersonalCare, -titlerank:titlerank:daterank:-price:price:reviewrank:salesrank
HomeGarden, -titlerank:titlerank:daterank:-price:price:reviewrank:salesrank
HomeImprovement, salesrank:reviewrank:-price:price
Jewelry, reviewrank:-price:price:relevancerank:salesrank:salesrank:reviewrank:relevancerank:-price:price
KindleStore, salesrank:daterank:reviewrank:-price:price:-edition-sales-velocity:relevancerank
Kitchen, -titlerank:titlerank:daterank:-price:price:reviewrank:salesrank
Marketplace, -launch-date:-titlerank:titlerank:-price:price:salesrank
MP3Downloads, salesrank:reviewrank:relevancerank:-releasedate:-price:price
Music, -titlerank:titlerank:inverse-pricerank:-price:price:-releasedate:releasedate:reviewrank:salesrank
MusicalInstruments, relevancerank:-price:price:salesrank:reviewrank
MusicTracks, -titlerank:titlerank
OfficeProducts, salesrank:reviewrank:relevancerank:-price:price
OutdoorLiving, -titlerank:titlerank:daterank:-price:price:reviewrank:salesrank
PCHardware, titlerank:-price:price:salesrank:psrank
Shoes, salesrank:reviewrank:relevancerank:-price:price:-launch-date
Software, -titlerank:titlerank:daterank:inverse-pricerank:price:reviewrank:salesrank
SoftwareVideoGames, -titlerank:titlerank:daterank:inverse-pricerank:price:reviewrank:salesrank
Toys, mfg-age-min:-mfg-age-min:-price:price:salesrank
VHS, -titlerank:titlerank:releasedate:daterank:inverse-pricerank:-price:price:reviewrank:salesrank
Video, -titlerank:titlerank:releasedate:daterank:inverse-pricerank:-price:price:reviewrank:salesrank
VideoGames, -titlerank:titlerank:daterank:inverse-pricerank:price:reviewrank:salesrank
Watches, -titlerank:titlerank:relevancerank:-price:price:salesrank:-launch-date